Country  Name   Lat    Long   Elevation
Indonesia	Mount Batur	-8.2627023	115.3534522	1412.0	m
Indonesia	Puncak Jaya	-4.04287	137.054459	5030.0	m
Iran	Mount Haz?r	29.5116031	57.2722274	4465.0	m
India	Kingu DI Mali Mountain	34.693142	74.019717	3361.0	m
India	Lund Mountain	34.784972	74.318419	3656.0	m
India	Shalabut Mountain	34.482907	74.311639	2056.0	m
India	Bod Bal Mountain	34.491104	74.347001	2500.0	m
India	Chandigam Bal Mountain	34.455269	74.375123	2330.0	m
India	Shahkut Mountain	34.469146	74.40015	2011.0	m
India	Poslut Mountain	34.499787	74.484621	2680.0	m
India	Markul Mountain	34.466773	74.463668	2195.0	m
India	Bumus Mountain	34.461606	74.485833	2580.0	m
India	Wadori Mountain	34.370681	73.916708	3331.0	m
India	Koni Rawal Mountain	34.366642	73.937557	3994.0	m
India	Palaphar Mountain	34.370298	73.997672	3796.0	m
India	Shamahabari Mountain	34.351399	73.949548	4120.0	m
India	Nangi Jinjar Mountain	34.302089	73.99484	3520.0	m
India	Ench Mountain	34.413689	74.016203	3205.0	m
India	Shonth Mountain	34.439155	74.116732	2166.0	m
India	Yadal Mountain	34.364697	74.079435	3117.0	m
India	Pathri Jinjar Mountain	34.291752	74.033327	3320.0	m
India	Chhota Kazinag Mountain	34.149831	73.950022	2960.0	m
India	Nanga Par Mountain	34.152488	73.992922	2997.0	m
India	Bisiwali Mountain	34.262466	74.015742	3731.0	m
India	Kazi Nag Dhar Mountain	34.261772	74.065731	4070.0	m
India	Timar Tikan Mountain	34.408127	74.212123	1761.0	m
India	Pabat Mountain	34.38939	74.266836	5606.0	m
India	Gosin Tang Mountain	34.447338	74.276982	5909.0	m
India	Kralasangar Mountain	34.42143	74.3139	1797.0	m
India	Dional Mountain	34.423634	74.348935	2222.0	m
India	Tsaindgam Bal Mountain	34.449604	74.377747	2421.0	m
India	Demnari Mountain	34.448524	74.43363	2051.0	m
India	Kowut Mountain	34.419301	74.436138	2766.0	m
India	Kowutdor Mountain	34.42718	74.42927	2632.0	m
India	Shal Tang Mountain	34.399394	74.379583	1793.0	m
India	Arawan Mountain	34.37869	74.425218	6532.0	m
India	Rajkain Mountain	34.417986	74.498663	2386.0	m
India	Hapatbut Mountain	34.401258	74.484836	2335.0	m
India	Khanu Mountain	34.371223	74.463694	1983.0	m
India	Orni Jabbar Mountain	34.065107	73.958329	2378.0	m
India	Keran Mountain	34.04968	73.972071	2934.0	m
India	Banavat Mountain	33.779401	74.126662	5114.0	m
India	Kantar Nag Mountain	33.958399	74.364012	3857.0	m
India	Dumkot Mountain	33.977632	74.483536	3498.0	m
India	Krala Sangar Mountain	33.957502	74.473069	3920.0	m
India	Nalan Mountain	33.894731	74.274836	2610.0	m
India	Pir Panjal Mountain	33.896395	74.409916	4215.0	m
India	Chinamarg Mountain	33.888491	74.419403	4210.0	m
India	Shin Mahinyu Mountain	33.902697	74.436112	4427.0	m
India	Khara Ka Naza Mountain	33.844227	74.413697	4090.0	m
India	Shiv Nag Mountain	33.894037	74.449233	4288.0	m
India	Lal Shah Ki Alam Mountain	33.88306	74.486128	3532.0	m
India	Handnal Mountain	33.803248	74.429439	4053.0	m
India	Baba Pahar Mountain	33.75801	74.405999	3760.0	m
India	Naushera Mountain	33.771777	74.427684	4282.0	m
India	Farish Mountain	33.804011	74.450051	4267.0	m
India	Khari Mountain	33.79413	74.483462	4159.0	m
India	Nupur Neza Mountain	33.781567	74.467877	4215.0	m
India	Hundru Mountain	33.760822	74.491406	4116.0	m
India	Kokarbai Mountain	34.459529	74.784094	3872.0	m
India	Baribal Mountain	34.454586	74.800936	3978.0	m
India	Choatar Mountain	34.467807	74.815478	3691.0	m
India	Khach Mountain	34.474079	74.859678	3859.0	m
India	Kaiyinmarg Mountain	34.457655	74.848738	4017.0	m
India	Lolikhi Mountain	34.629973	75.104285	4209.0	m
India	Sateni Mountain	34.616788	75.046906	3643.0	m
India	Gagarbal Mountain	34.492851	74.883403	1106.0	m
India	Nichinai Mountain	34.475625	74.92435	4463.0	m
India	Shonshpahl Mountain	34.458358	74.92397	4176.0	m
India	Kana Sar Mountain	34.45467	74.947776	4312.0	m
India	Jarog Mountain	34.599939	75.081675	3904.0	m
India	Kinkor Mountain	34.583624	75.112431	3638.0	m
India	Makneli Mountain	34.569491	75.275055	3972.0	m
India	Gutumishungi Chhish Mountain	34.564876	75.336675	4640.0	m
India	Noli Dub Mountain	34.513106	75.261226	4128.0	m
India	Abdullun Dhar Mountain	34.515886	75.284037	3722.0	m
India	Kotho Phia Mountain	34.506606	75.303091	3499.0	m
India	Chhillo Phia Mountain	34.532104	75.334377	4249.0	m
India	Sire Shhish Mountain	34.515316	75.352322	4719.0	m
India	Hapat Nak Mountain	34.446449	74.769606	3693.0	m
India	Sariwas Mountain	34.393746	74.783484	3190.0	m
India	Yamal Mountain	34.445431	74.816246	3877.0	m
India	Trewa Mountain	34.397714	74.818267	3782.0	m
India	Chhamar Mountain	34.381667	74.874959	3800.0	m
India	Zhakhran Mountain	34.34135	74.800146	3451.0	m
India	Khachi Handar Mountain	34.357718	74.851882	4151.0	m
India	Alastiung Mountain	34.19822	74.825235	1653.0	m
India	Hari Prabhat Mountain	34.1053805	74.8184599	375.0	m
India	Andarun Sar Mountain	34.451072	74.919847	4192.0	m
India	Zalibal Mountain	34.440119	74.963823	4159.0	m
India	Haramukh Mountain	34.400842	74.91743	4231.0	m
India	Tilwankain Mountain	34.376357	74.897127	4346.0	m
India	Kaul Sar Mountain	34.386117	74.946139	3730.0	m
India	Braham Sar Mountain	34.374465	74.935536	3959.0	m
India	Karala Sangari Mountain	34.102654	74.883461	1650.0	m
India	Mahadeo Mountain	34.150932	74.985469	3684.0	m
India	Kolahoi Mountain	34.166428	75.326846	4808.0	m
India	Kumdan Mountain	35.1737078	77.5291543	5710.0	m
India	Sariling Mountain	34.65828	76.222105	4356.0	m
India	Sanma Chharo Mountain	34.622616	76.011797	4285.0	m
India	Phulyat Phuto Mountain	34.619079	76.072208	3763.0	m
India	Gormukh Mountain	34.657922	76.366629	3712.0	m
India	Bonothombo Mountain	34.625925	76.370143	3395.0	m
India	Gripches Go Mountain	34.616575	76.36669	3704.0	m
India	Lagma Go Mountain	34.604262	76.363436	4051.0	m
India	Biamocheni Gob Mountain	34.575873	76.316622	4222.0	m
India	Shashi Chhu Mountain	34.567962	76.354224	4247.0	m
India	Bardum Mountain	34.533313	76.309895	4539.0	m
India	Nunkun Mountain	33.980075	76.021071	7077.0	m
India	Saser Mountain	34.867002	77.7490077	7463.0	m
India	Saser Muztagh Mountain	34.6651918	77.8334158	6235.0	m
India	Shukpa Kunchang Mountain	34.7998508	77.9001084	6001.0	m
India	Kunsang Mountain	34.4622078	77.9840994	5082.0	m
India	Stok Kangari Mountain	33.987062	77.440636	5938.0	m
India	Tor Devata Mountain	33.703816	74.025649	4566.0	m
India	Pir Maranot Ghazir Mountain	33.716019	74.111233	2027.0	m
